Universitas,Prodi,Rank,text
universitas gadjah mada,bahasa jepang untuk komunikasi bisnis dan profesional,2.0,bahasa jepang untuk komunikasi bisnis dan profesional
universitas negeri yogyakarta,ilmu hukum,19.0,ilmu hukum
universitas baturaja,hukum bisnis,999.0,hukum bisnis
akademi komunitas peternakan jorong,pengembangbiakan sapi,999.0,pengembangbiakan sapi
institut teknologi dan sains padang lawas utara,peternakan,999.0,peternakan
institut agama islam nahdlatul ulama tuban,psikologi islam,999.0,psikologi islam
universitas mayjen sungkono,agribisnis,999.0,agribisnis
stai babunnajah pandeglang,hukum keluarga,999.0,hukum keluarga
universitas lakidende unaaha,administrasi publik,999.0,administrasi publik
universitas doktor husni ingratubun papua,agribisnis,999.0,agribisnis
stai almusdariyah cimahi,hukum ekonomi syariah,999.0,hukum ekonomi syariah
iain palangkaraya,bimbingan konseling islam,999.0,bimbingan konseling islam
sekolah tinggi agama islam azzain sampang,hukum keluarga islam,999.0,hukum keluarga islam
stai almusaddadiyah garut,hukum keluarga islam,999.0,hukum keluarga islam
universitas sains indonesia,hukum,999.0,hukum
universitas sains indonesia,psikologi,999.0,psikologi
universitas negeri padang,ilmu lingkungan,21.0,ilmu lingkungan
universitas negeri padang,teknologi kosmetik,21.0,teknologi kosmetik
sekolah tinggi teologi simpson ungaran,misi dan komunikasi kristen,999.0,misi dan komunikasi kristen
politeknik maritim ami makassar,teknologi rekayasa operasi kapal,999.0,teknologi rekayasa operasi kapal
universitas syiah kuala,teknologi industri hasil perikanan,23.0,teknologi industri hasil perikanan
akademi komunitas kelautan dan perikanan wakatobi,konservasi,999.0,konservasi
universitas bina taruna gorontalo,hukum bisnis,999.0,hukum bisnis
universitas presiden,arsitektur,999.0,arsitektur
politeknik bentara citra bangsa,linguistik terapan,999.0,linguistik terapan
universitas rokania,hukum,999.0,hukum
universitas kh bahaudin mudhary madura,hukum bisnis,999.0,hukum bisnis
universitas kh bahaudin mudhary madura,bahasa dan kebudayaan inggris,999.0,bahasa dan kebudayaan inggris
universitas borneo tarakan,psikologi,999.0,psikologi
universitas deztron indonesia,sastra inggris,999.0,sastra inggris
universitas mulawarman,ilmu keolahragaan,999.0,ilmu keolahragaan
universitas cenderawasih,planologi,999.0,planologi
universitas muhammadiyah maluku utara,ilmu pemerintahan,999.0,ilmu pemerintahan
universitas sultan ageng tirtayasa,peternakan,999.0,peternakan
universitas pamulang,ilmu komunikasi,999.0,ilmu komunikasi
universitas presiden,desain interior,999.0,desain interior
universitas djuanda,teknologi industri pertanian,999.0,teknologi industri pertanian
sekolah tinggi ilmu administrasi maulana yusuf banten,administrasi publik,999.0,administrasi publik
universitas wahid hasyim,ilmu hubungan internasional,999.0,ilmu hubungan internasional
universitas wahid hasyim,ilmu politik,999.0,ilmu politik
