Universitas,Prodi,Jenjang,Status
"UNIVERSITAS DIPONEGORO, SEMARANG",ILMU KEDOKTERAN DAN KESEHATAN,S3,PTN
"UNIVERSITAS AIRLANGGA, SURABAYA",NERS,Profesi,PTN
"UNIVERSITAS AIRLANGGA, SURABAYA",KEPERAWATAN,S1,PTN
"UNIVERSITAS AIRLANGGA, SURABAYA",KEPERAWATAN MEDIKAL BEDAH,Spesialis,PTN
"SEKOLAH TINGGI ILMU KESEHATAN TRI MANDIRI SAKTI BENGKULU, BENGKULU",BIDAN,Profesi,02
"SEKOLAH TINGGI ILMU KESEHATAN TRI MANDIRI SAKTI BENGKULU, BENGKULU",KEBIDANAN,S1,02
"SEKOLAH TINGGI ILMU KESEHATAN SITI KHADIJAH, PALEMBANG",ILMU KEPERAWATAN,S1,02
"SEKOLAH TINGGI ILMU KESEHATAN SITI KHADIJAH, PALEMBANG",NERS,Profesi,02
"SEKOLAH TINGGI ILMU KESEHATAN PERTAMEDIKA, JAKARTA",TEKNIK RADIODIAGNOSTIK DAN RADIOTERAPI,D-III,03
"SEKOLAH TINGGI ILMU KESEHATAN NASIONAL, SURAKARTA",FARMASI,D-III,06
"SEKOLAH TINGGI ILMU KESEHATAN MUTIARA MAHAKAM SAMARINDA, SAMARINDA",KESELAMATAN DAN KESEHATAN KERJA,D-IV,11
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI MULIA, KEDIRI",KESELAMATAN DAN KESEHATAN KERJA,S1,07
"SEKOLAH TINGGI ILMU FARMASI YAYASAN PHARMASI, SEMARANG",FARMASI,D-III,06
"SEKOLAH TINGGI ILMU FARMASI YAYASAN PHARMASI, SEMARANG",ANALIS FARMASI DAN MAKANAN,D-III,06
"POLITEKNIK TIARA BUNDA, DEPOK",KEPERAWATAN ANESTESIOLOGI,D-IV,04
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALEMBANG, PALEMBANG",KEPERAWATAN (KAMPUS BATU RAJA),D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MANADO, MANADO",GIZI,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG, MALANG",KEPERAWATAN (KAMPUS KAB. PONOROGO),D-III,PTKL
"SEKOLAH TINGGI ILMU KESEHATAN MARENDENG MAJENE, MAJENE",KEBIDANAN,D-III,09
"SEKOLAH TINGGI ILMU KESEHATAN BORNEO CENDEKIA MEDIKA, KOTAWARINGIN BARAT",KEPERAWATAN,S1,11
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN",SANITASI,D-III,PTKL
"INSTITUT KESEHATAN IMMANUEL, BANDUNG",NERS,Profesi,04
"INSTITUT KESEHATAN IMMANUEL, BANDUNG",ILMU KEPERAWATAN,S1,04
"UNIVERSITAS PALANGKA RAYA, PALANGKA RAYA",TEKNOLOGI LABORATORIUM MEDIS,D-IV,PTN
"UNIVERSITAS MANDALA WALUYA, KENDARI",KESEHATAN MASYARAKAT,S1,09
"UNIVERSITAS MAHASARASWATI DENPASAR, DENPASAR",FARMASI,S1,08
"UNIVERSITAS INDONESIA MAJU, JAKARTA",FARMASI,S1,03
"UNIVERSITAS AL-IRSYAD CILACAP, CILACAP",FARMASI,S1,06
"SEKOLAH TINGGI ILMU KESEHATAN PEKANBARU MEDICAL CENTER, PEKANBARU",KEBIDANAN,S1,10
"SEKOLAH TINGGI ILMU KESEHATAN PEKANBARU MEDICAL CENTER, PEKANBARU",BIDAN,Profesi,10
"SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA, JAKARTA",NERS,Profesi,03
"SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA, JAKARTA",KEPERAWATAN,S1,03
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALANGKARAYA, PALANGKARAYA",KEBIDANAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN GORONTALO, GORONTALO",FARMASI,D-III,PTKL
"POLITEKKNIK KESEHATAN KEMENTERIAN KESEHATAN RIAU, PEKANBARU",GIZI,D-III,PTKL
"UNIVERSITAS BINA MANDIRI GORONTALO, GORONTALO",ADMINISTRASI RUMAH SAKIT,S1,16
"SEKOLAH TINGGI ILMU KESEHATAN BINA BANGSA MAJENE, MAJENE",KESEHATAN MASYARAKAT,S1,09
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN YOGYAKARTA, YOGYAKARTA",KEPERAWATAN ANESTESIOLOGI,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG, KUPANG",KEPERAWATAN (KAMPUS WAINGAPU),D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN ACEH, ACEH BESAR",GIZI,D-III,PTKL
"POLITEKNIK CENDRAWASIH PALU, PALU",TEKNOLOGI LABORATORIUM MEDIS,D-IV,16
"UNIVERSITAS STRADA INDONESIA, KEDIRI",KESEHATAN MASYARAKAT,S3,07
"UNIVERSITAS STRADA INDONESIA, KEDIRI",KEBIDANAN,S1,07
"UNIVERSITAS STRADA INDONESIA, KEDIRI",BIDAN,Profesi,07
"SEKOLAH TINGGI FARMASI MAHAGANESHA, DENPASAR",FARMASI,S1,08
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALU, PALU",SANITASI,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN GORONTALO, GORONTALO",KEBIDANAN,D-III,PTKL
"UNIVERSITAS PAHLAWAN TUANKU TAMBUSAI, KAMPAR",KEBIDANAN,S1,10
"UNIVERSITAS PAHLAWAN TUANKU TAMBUSAI, KAMPAR",BIDAN,Profesi,10
"UNIVERSITAS MUHAMMADIYAH LAMONGAN, LAMONGAN",KEBIDANAN,D-III,07
"SEKOLAH TINGGI ILMU KESEHATAN WIRA MEDIKA BALI, DENPASAR",NERS,Profesi,08
"SEKOLAH TINGGI ILMU KESEHATAN WIRA MEDIKA BALI, DENPASAR",KEPERAWATAN,S1,08
"SEKOLAH TINGGI ILMU KESEHATAN INSAN SE AGUNG, BANGKALAN",KEBIDANAN,D-III,07
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN GORONTALO, GORONTALO",GIZI,D-III,PTKL
"INSTITUT KESEHATAN DELI HUSADA DELI TUA, DELI SERDANG",KEDOKTERAN,S1,01
"INSTITUT KESEHATAN DELI HUSADA DELI TUA, DELI SERDANG",DOKTER,Profesi,01
"UNIVERSITAS YARSI, JAKARTA",SAINS BIOMEDIS,S2,03
"UNIVERSITAS MATARAM, MATARAM",KEDOKTERAN KELAUTAN,Spesialis,PTN
"UNIVERSITAS SUMATERA UTARA, MEDAN",BEDAH MULUT DAN MAKSILOFASIAL,Spesialis,PTN
"UNIVERSITAS NEGERI PADANG, PADANG",KEDOKTERAN HEWAN,S1,PTN
"UNIVERSITAS MUSLIM INDONESIA, MAKASSAR",KESEHATAN MASYARAKAT,S3,09
"UNIVERSITAS MUHAMMADIYAH METRO, METRO",KEDOKTERAN,S1,02
"UNIVERSITAS MUHAMMADIYAH A.R. FACHRUDDIN, TANGERANG",APOTEKER,Profesi,04
"UNIVERSITAS MEGA BUANA PALOPO, PALOPO",DOKTER GIGI,Profesi,09
"UNIVERSITAS MEGA BUANA PALOPO, PALOPO",KEDOKTERAN GIGI,S1,09
"UNIVERSITAS LAMBUNG MANGKURAT, BANJARMASIN",NEUROLOGI,Spesialis,PTN
"UNIVERSITAS INDONESIA, JAKARTA",UROLOGI,Subspesialis,PTN
"UNIVERSITAS INDONESIA, JAKARTA",DERMATOLOGI VENEREOLOGI DAN ESTETIKA,Subspesialis,PTN
"UNIVERSITAS INDO GLOBAL MANDIRI, PALEMBANG",DOKTER,Profesi,02
"UNIVERSITAS INDO GLOBAL MANDIRI, PALEMBANG",KEDOKTERAN,S1,02
"UNIVERSITAS DR. SOETOMO, SURABAYA",KEBIDANAN,S1,07
"UNIVERSITAS DR SOETOMO, SURABAYA",BIDAN,Profesi,07
"UNIVERSITAS DIPONEGORO, SEMARANG",DIETISIEN,Profesi,PTN
"UNIVERSITAS DIAN NUSWANTORO, SEMARANG",MANAJEMEN INFORMASI KESEHATAN,D-IV,06
"SEKOLAH TINGGI ILMU KESEHATAN ST. ELISABETH KEUSKUPAN MAUMERE, SIKKA",FISIOTERAPI,S1,15
"SEKOLAH TINGGI ILMU KESEHATAN PGI CIKINI, JAKARTA",KESELAMATAN DAN KESEHATAN KERJA,S1,03
"SEKOLAH TINGGI ILMU KESEHATAN BETHESDA TOMOHON, TOMOHON",KEPERAWATAN,S1,16
"POLITEKNIK MUHAMMADIYAH MAKASSAR, MAKASSAR",TEKNOLOGI RADIOLOGI PENCITRAAN,D-IV,09
"INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA, JAKARTA",APOTEKER,Profesi,03
"AKADEMI TEKNIK RADIOLOGI DR. ADJI SAPTOGINO, KARAWANG",TEKNOLOGI RADIOLOGI PENCITRAAN,D-IV,04
"UNIVERSITAS NEGERI SEMARANG, SEMARANG",GIZI,S1,PTN
"UNIVERSITAS NEGERI PADANG, PADANG",DOKTER,Profesi,PTN
"UNIVERSITAS NEGERI PADANG, PADANG",KEDOKTERAN,S1,PTN
"UNIVERSITAS HASANUDDIN, MAKASSAR",KEDOKTERAN HEWAN,S1,PTN
"UNIVERSITAS HASANUDDIN, MAKASSAR",HEWAN,-,PTN
"UNIVERSITAS HANG TUAH PEKANBARU, PEKANBARU",KEBIDANAN,S1,17
"UNIVERSITAS HANG TUAH PEKANBARU, PEKANBARU",BIDAN,Profesi,17
"SEKOLAH TINGGI ILMU KESEHATAN RAJEKWESI BOJONEGORO, BOJONEGORO",BIDAN,Profesi,07
"SEKOLAH TINGGI ILMU KESEHATAN RAJEKWESI BOJONEGORO, BOJONEGORO",KEBIDANAN,S1,07
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN YOGYAKARTA, YOGYAKARTA",NERS,Profesi,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN YOGYAKARTA, YOGYAKARTA",KEPERAWATAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAKARTA I, JAKARTA",KEBIDANAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAKARTA I, JAKARTA",KEPERAWATAN,D-III,PTKL
"POLITEKKNIK KESEHATAN KEMENTERIAN KESEHATAN RIAU, PEKANBARU",KEBIDANAN,D-III,PTKL
"AKADEMI KESEHATAN ARGA HUSADA, KEDIRI",FISIOTERAPI,D-III,07
"AKADEMI FARMASI PRAYOGA PADANG, PADANG",FARMASI,D-III,10
Universitas Siliwangi,Akuntansi,S1,PTN
Institut Teknologi Dan Bisnis Nobel Indonesia,Keuangan Publik,S2,09
Universitas Pamulang,Administrasi Perkantoran,D-III,04
Universitas Lampung,Manajemen,S2,PTN
Universitas Labuhanbatu,Ilmu Manajemen,S2,01
Universitas Nahdlatul Ulama Purwokerto,Manajemen,S1,06
Universitas Langlang Buana,Manajemen,S2,04
Universitas Jenderal Soedirman,Ilmu Akuntansi,S3,PTN
Universitas Katolik Indonesia Atma Jaya,Pendidikan Profesi Akuntansi,Profesi,03
"STAI Raudhatul Akmal, Deli Serdang, Sumatera Utara",Ekonomi Syariah,S1,PTAS
Universitas Pignatelli Triputra,Manajemen,S1,06
Sekolah Tinggi Ilmu Ekonomi Jambi,Manajemen,S1,10
Universitas Teknologi Bandung,Bisnis Digital,S1,04
Institut Agama Islam Negeri Kerinci,Manajemen Bisnis Syariah,S1,PTAN
Politeknik Sukabumi,Administrasi Bisnis,D-III,04
Universitas Muhammadiyah Sinjai,Bisnis Digital,S1,09
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN GORONTALO, GORONTALO",KEPERAWATAN,D-III,PTKL
Universitas 17 Agustus 1945 Cirebon,Manajemen,S1,04
Universitas Nusa Bangsa,Akuntansi,S1,04
Universitas Muhammadiyah Aceh,Akuntansi,S1,13
Universitas Islam Negeri Imam Bonjol Padang,Ekonomi Syari'ah,S2,PTAN
Universitas Cendekia Mitra Indonesia,Manajemen,S1,05
Sekolah Tinggi Ilmu Ekonomi Sutaatmadja,Manajemen,S1,04
Universitas Lancang Kuning,Ilmu Komputer,S2,17
Universitas Ma'soem,Komputerisasi Akuntansi,D-III,04
Universitas Muslim Nusantara Al-Washliyah,Akuntansi,S1,01
Universitas Doktor Husni Ingratubun Tual,Manajemen,S1,12
Institut Teknologi Dan Bisnis Nobel Indonesia,Manajemen Dan Kewirausahaan,S2,09
Sekolah Tinggi Ilmu Ekonomi Bina Karya,Manajemen,S1,01
Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,Manajemen,S1,03
Universitas Islam Batik,Manajemen,S2,06
Universitas Wijayakusuma Purwokerto,Manajemen,S1,06
Universitas 17 Agustus 1945 Jakarta,Bisnis Digital,S1,03
Universitas Sumatera Utara,Ekonomi Pembangunan,S1,PTN
Sekolah Tinggi Ekonomi Dan Bisnis Islam Al Jabar Bandung Jawa Barat,Ekonomi Syariah,S1,PTAS
Politeknik Cristo Re,Ekowisata,D-III,15
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Ekonomi Syariah,S1,PTAN
Universitas Sali Al-Aitaam,Kewirausahaan,S1,04
Universitas Bina Nusantara,Ilmu Manajemen,S3,03
Universitas Nasional,Akuntansi,S2,03
Politeknik Semen Indonesia,Administrasi Perkantoran,D-III,07
Institut Teknologi Statistika Dan Bisnis Muhammadiyah Semarang,Manajemen Ritel,S1,06
Universitas Tunas Pembangunan Surakarta (UTP),Akuntansi,S1,06
STAI Nida El Adabi Parung Panjang Bogor,Ekonomi Syariah,S1,PTAS
Sekolah Tinggi Ilmu Ekonomi Palangka Raya,Ekonomi Pembangunan,S1,11
Politeknik Bina Madani,Akuntansi,D-IV,04
"UNIVERSITAS AISYAH PRINGSEWU, PRINGSEWU",GIZI,S1,02
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BENGKULU, BENGKULU",KEBIDANAN,D-III,PTKL
Institut Teknologi Bacharuddin Jusuf Habibie,Teknik Robotik Dan Kecerdasan Buatan,S1,PTN
Institut Teknologi Bacharuddin Jusuf Habibie,Teknik Perkapalan,S1,PTN
Universitas Presiden,Agribisnis,S1,04
Sekolah Tinggi Ekonomi Dan Bisnis Syariah (STEBIS) Indo Global Mandiri,Hukum Ekonomi Syariah (Mu`amalah),S1,PTAS
Institut Agama Islam Riyadlatul Mujahidin Ngabar (IAIRM) Ponorogo,Hukum Keluarga Islam (Akhwal Syakhshiyyah),S1,PTAS
Universitas Gadjah Mada,Magister Ketahanan Nasional,S2,PTN
Universitas Telkom,Desain Komunikasi Visual (Kampus Jakarta),S1,04
Institut Teknologi Dan Bisnis Nusantara,Agribisnis,S1,02
Universitas Lakidende Unaaha,Agribisnis,S1,09
Universitas Muria Kudus,Agribisnis,S1,06
Institut Seni Indonesia Denpasar,Animasi,D-IV,PTN
Universitas Gadjah Mada,Bahasa Jepang Untuk Komunikasi Bisnis Dan Profesional,D-IV,PTN
Universitas Negeri Yogyakarta,Ilmu Hukum,S1,PTN
Universitas Baturaja,Hukum Bisnis,S1,02
Akademi Komunitas Peternakan Jorong,Pengembangbiakan Sapi,D-II,11
Universitas Sanata Dharma,Psikologi,S2,05
Institut Teknologi Dan Sains Padang Lawas Utara,Peternakan,S1,01
Institut Agama Islam Nahdlatul Ulama Tuban,Psikologi Islam,S1,PTAS
Universitas Mayjen Sungkono,Agribisnis,S1,07
"STAI Babunnajah Pandeglang, Banten",Hukum Keluarga (Ahwal Syakhshiyah),S1,PTAS
Universitas Mataram,Perencanaan Kepariwisataan,S2,PTN
Universitas Lakidende Unaaha,Administrasi Publik,S1,09
Universitas Doktor Husni Ingratubun Papua,Agribisnis,S1,14
Universitas Lambung Mangkurat,Hukum,S3,PTN
STAI Al-Musdariyah Cimahi,Hukum Ekonomi Syariah (Muamalah),S1,PTAS
IAIN Palangkaraya,Bimbingan Konseling Islam,S1,PTAN
Sekolah Tinggi Agama Islam Az-Zain Sampang,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Universitas Islam Negeri Walisongo Semarang,Hukum,S2,PTAN
Universitas Pembangunan Nasional Veteran Yogyakarta,Ilmu Tanah,S2,PTN
STAI Al-Musaddadiyah Garut,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS
Institut Agama Islam Bakti Negara Tegal,Studi Islam,S2,PTAS
Universitas Sains Indonesia,Hukum,S1,04
Universitas Sains Indonesia,Psikologi,S1,04
Sekolah Tinggi Teologi Pantekosta Sumut - Aceh,Teologi,S2,PTAS
Universitas Negeri Padang,Ilmu Lingkungan,S1,PTN
Universitas Negeri Padang,Teknologi Kosmetik,D-IV,PTN
Universitas Sebelas Maret,Profesi Arsitek,Profesi,PTN
Sekolah Tinggi Teologi Simpson Ungaran,Misi Dan Komunikasi Kristen,S1,PTAS
Politeknik Maritim AMI Makassar,Teknologi Rekayasa Operasi Kapal,D-IV,09
Universitas Gadjah Mada,Profesi Kurator Keanekaragaman Hayati,Profesi,PTN
Universitas Gadjah Mada,Magister Teknik Pengendalian Pencemaran Industrial,S2,PTN
Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,Ilmu Syariah,S3,PTAN
Universitas 17 Agustus 1945 Samarinda,Hukum,S2,11
Universitas Syiah Kuala,Teknologi Industri Hasil Perikanan,S1,PTN
Akademi Komunitas Kelautan Dan Perikanan Wakatobi,Konservasi,D-I,PTKL
Universitas Bina Taruna Gorontalo,Hukum Bisnis,S1,16
Universitas Presiden,Arsitektur,S1,04
Politeknik Bentara Citra Bangsa,Linguistik Terapan,D-IV,03
Politeknik Internasional Bali,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,08
Universitas Rokania,Hukum,S1,17
Universitas KH. Bahaudin Mudhary Madura,Hukum Bisnis,S1,07
Universitas KH. Bahaudin Mudhary Madura,Bahasa Dan Kebudayaan Inggris,S1,07
Universitas Borneo Tarakan,Psikologi,S1,PTN
Universitas Deztron Indonesia,Sastra Inggris,S1,01
Universitas Mulawarman,Ilmu Keolahragaan,S1,PTN
Universitas Cenderawasih,Planologi,S1,PTN
Universitas Muhammadiyah Maluku Utara,Ilmu Pemerintahan,S1,12
Universitas PGRI Sumatera Barat,Studi Lingkungan,S2,10
Universitas Sultan Ageng Tirtayasa,Peternakan,S1,PTN
Universitas Islam Riau,Agronomi,S2,17
Universitas Pamulang,Ilmu Komunikasi,S1,04
Universitas Presiden,Desain Interior,S1,04
Universitas Djuanda,Teknologi Industri Pertanian,S1,04
Universitas Pakuan,Ilmu Hukum,S2,04
Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,Administrasi Publik,S1,04
Universitas Wahid Hasyim,Ilmu Hubungan Internasional,S1,06
Universitas Wahid Hasyim,Ilmu Politik,S1,06
Politeknik Kelautan Dan Perikanan Bitung,Mekanisasi Perikanan,D-III,PTKL
Universitas Siber Muhammadiyah,PJJ Hukum,S1,05
Akademi Pertanian Yogyakarta,Budidaya Tanaman Pangan,D-III,05
Universitas Negeri Malang,Ilmu Komunikasi,S1,PTN
Universitas Muhammadiyah Karanganyar,Ilmu Komunikasi,S1,06
Institut Teknologi Dan Sains Padang Lawas Utara,Agroteknologi,S1,01
Universitas Nasional,Agroteknologi,S1,03
Universitas Sebelas Maret,Agronomi,S2,PTN
Universitas Simalungun,Kehutanan,S1,01
Universitas Muhammadiyah Aceh,Agribisnis,S1,13
Universitas IBA,Agribisnis,S1,02
Universitas Gadjah Mada,Magister Filsafat,S2,PTN
Universitas Gadjah Mada,Doktor Filsafat,S3,PTN
Sekolah Tinggi Ilmu Administrasi Lppn,Administrasi Publik,S1,10
Universitas Kalbis,Ilmu Komunikasi,S1,03
Institut Agama Kristen Negeri Toraja,Misiologi,S1,PTAN
Universitas Cendekia Mitra Indonesia,Desain Komunikasi Visual,S1,05
Universitas Karya Husada Semarang,Hukum,S1,06
Universitas Muhammadiyah Karanganyar,Peternakan,S1,06
Institut Bisnis Dan Teknologi Indonesia,Desain Komunikasi Visual,S1,08
Universitas Muslim Buton,Peradilan Pidana,D-IV,09
Universitas Muslim Buton,Administrasi Pemerintahan Daerah,D-IV,09
Politeknik Negeri Bali,Perhotelan (Kampus Kab. Karangasem),D-III,PTN
Sekolah Tinggi Agama Islam Az-Zain Sampang,Ilmu Al-Qur'an Dan Tafsir,S1,PTAS
Universitas Negeri Malang,Psikologi,S2,PTN
STAI Ma`arif Kendal Ngawi,Muamalah,S1,PTAS
Institut Seni Budaya Indonesia Bandung,Seni Karawitan,S1,PTN
Institut Agama Islam Negeri Madura,Ilmu Hadis,S1,PTAN
IAIN Manado,Hukum Keluarga (Akhwal Syaksiyah),S1,PTAN
Sekolah Tinggi Teologi SAAT,Teologi (Akademik),S2,PTAS
Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,Hukum Ekonomi Syariah (Muamalah),S1,PTAS
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,Hukum Keluarga Islam (Ahwal Al Syakhshiyah),S1,PTAN
Institut Ilmu Sosial Dan Bisnis Andi Sapada,Ilmu Hukum,S1,09
Universitas Maritim AMNI,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,D-III,06
Universitas Bina Nusantara,Sastra Cina,S1,03
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S1,PTN
Universitas Andalas,Teknologi Industri Pertanian,S2,PTN
Universitas Airlangga,Pengembangan Sumber Daya Manusia,S2,PTN
Universitas Islam Negeri Imam Bonjol Padang,Ilmu Al-Quran Dan Tafsir,S1,PTAN
Universitas Al Asyariah Mandar,Agroteknologi,S1,09
Universitas Pertiwi,Desain Komunikasi Visual,S1,04
Universitas Pertahanan,Kimia,S1,PTKL
Universitas Pertahanan,Matematika,S1,PTKL
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Asuransi Syariah,S1,PTAN
Universitas Negeri Padang,Statistika,S1,PTN
Universitas Pattimura,Matematika,S1,PTN
Universitas Islam Bandung,Akuntansi,S1,04
Universitas Koperasi Indonesia,Akuntansi,S1,04
Universitas Negeri Makassar,Administrasi Bisnis,S1,PTN
Universitas Padjadjaran,Ilmu Ekonomi,S3,PTN
Sekolah Tinggi Ilmu Ekonomi Mulia Darma Pratama,Manajemen,S1,02
Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,Kewirausahaan,S1,PTAN
Universitas Mega Buana Palopo,Kewirausahaan,S1,09
Universitas Mulawarman,Manajemen,S2,PTN
Institut Administrasi Dan Kesehatan Setih Setio Muara Bungo,Ilmu Administrasi Niaga,S1,10
Institut Teknologi Dan Bisnis Arungpalakka,Bisnis Digital,S1,09
Institut Digital Ekonomi LPKIA,Administrasi Bisnis,S1,04
Universitas Gadjah Mada,Doktor Ilmu Ekonomi,S3,PTN
IAIN Kendari,Manajemen Bisnis Syariah,S1,PTAN
Universitas Muhammadiyah Kalimantan Timur,Akuntansi,S1,11
STAI Nida El Adabi Parung Panjang Bogor,Manajemen Bisnis Syariah,S1,PTAS
Universitas Ichsan Sidenreng Rappang,Manajemen,S1,09
Sekolah Tinggi Sains Islam Bina Cendekia Utama Cirebon,Ekonomi Syariah,S1,PTAS
"UNIVERSITAS SUMATERA UTARA, MEDAN",GIZI,S1,PTN
"UNIVERSITAS PRIMA INDONESIA, MEDAN",KEDOKTERAN KELUARGA LAYANAN PRIMER,Spesialis,01
"SEKOLAH TINGGI ILMU KESEHATAN BHAKTI PERTIWI LUWU RAYA, PALOPO",FARMASI,D-III,09
"SEKOLAH TINGGI ILMU FARMASI RIAU, PEKANBARU",FARMASI,D-III,10
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG, MALANG",KEBIDANAN,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BENGKULU, BENGKULU",TEKNOLOGI LABORATORIUM MEDIS,D-III,PTKL
Politeknik Prasetiya Mandiri,Komputerisasi Akuntansi,D-III,04
"UNIVERSITAS UDAYANA, DENPASAR",BEDAH SARAF,Spesialis,PTN
"UNIVERSITAS UDAYANA, DENPASAR",NERS,Profesi,PTN
"UNIVERSITAS UDAYANA, DENPASAR",KEPERAWATAN,S1,PTN
"UNIVERSITAS SEBELAS APRIL, SUMEDANG",KESEHATAN MASYARAKAT,S1,04
"UNIVERSITAS PERINTIS INDONESIA, PADANG",NERS,Profesi,10
"UNIVERSITAS PERINTIS INDONESIA, PADANG",KEPERAWATAN,S1,10
"UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAKARTA, JAKARTA",RADIOLOGI,Spesialis,PTN
"UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAKARTA, JAKARTA",SAINS BIOMEDIS,S2,PTN
"UNIVERSITAS AISYAH PRINGSEWU, PRINGSEWU",FARMASI,S1,02
"UNIVERSITAS 'AISYIYAH YOGYAKARTA, YOGYAKARTA",GIZI,S1,05
"SEKOLAH TINGGI ILMU KESEHATAN MITRA RIA HUSADA JAKARTA, JAKARTA",KESEHATAN MASYARAKAT,S1,03
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG, KUPANG",KEPERAWATAN (KAMPUS ENDE),D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN DENPASAR, DENPASAR",SANITASI LINGKUNGAN,D-IV,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN DENPASAR, DENPASAR",SANITASI,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BENGKULU, BENGKULU",GIZI,D-III,PTKL
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BENGKULU, BENGKULU",SANITASI,D-III,PTKL
"POLITEKKNIK KESEHATAN KEMENTERIAN KESEHATAN RIAU, RIAU",KEPERAWATAN (KAMPUS KAB INDRAGIRI HULU),D-III,PTKL
"UNIVERSITAS SARI MUTIARA INDONESIA, MEDAN",KEBIDANAN,S1,01
"UNIVERSITAS SARI MUTIARA INDONESIA, MEDAN",BIDAN,Profesi,01
"UNIVERSITAS MUHAMMADIYAH SURABAYA, SURABAYA",DOKTER,Profesi,07
"UNIVERSITAS MUHAMMADIYAH SURABAYA, SURABAYA",PENDIDIKAN DOKTER,S1,07
"UNIVERSITAS AIRLANGGA, SURABAYA",KEPERAWATAN,D-III,PTN
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KENDARI, KENDARI",GIZI,D-III,PTKL
Sekolah Tinggi Agama Kristen Nabire,Teologi,S1,PTAS
Politeknik Omna Trisakti Chandra,Pengelolaan Pariwisata Global,D-IV,08
Institut Seni Indonesia Surakarta,Arsitektur,S1,PTN
Institut Seni Indonesia Surakarta,Tata Kelola Seni,D-IV,PTN
Institut Seni Indonesia Surakarta,Destinasi Pariwisata,D-IV,PTN
Universitas Lambung Mangkurat,Antropologi,S1,PTN
Universitas Insaniah Sumatera Utara,Hukum Tatan Negara (Siyasah),S1,PTAS
Universitas Insaniah Sumatera Utara,Hukum Pidana Islam (Jinayah),S1,PTAS
Universitas Brawijaya,Kepemimpinan Dan Inovasi Kebijakan,S3,PTN
Universitas Ma'arif Lampung,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S2,PTAS
Universitas Sulawesi Barat,Sumber Daya Akuatik,S1,PTN
Universitas Islam Negeri Syekh AIi Hasan Ahmad Addary Padangsidimpuan,Studi Islam,S3,PTAN
Universitas Pendidikan Ganesha,Hukum,S2,PTN
Politeknik Prasetiya Mandiri,Teknik Otomotif (Kampus Kota Metro),D-III,04
